iter	Passed	Remaining
542	17537	14759
543	17567	14725
544	17597	14691
545	17632	14661
546	17661	14626
547	17689	14590
548	17717	14554
549	17746	14519
550	17775	14485
551	17804	14449
552	17832	14414
553	17863	14381
554	17884	14339
555	17913	14304
556	17941	14269
557	17970	14234
558	17998	14199
559	18029	14165
560	18059	14131
561	18087	14097
562	18116	14061
563	18145	14027
564	18173	13991
565	18188	13946
566	18216	13911
567	18246	13877
568	18275	13842
569	18303	13808
570	18332	13773
571	18361	13739
572	18392	13705
573	18420	13670
574	18447	13634
575	18475	13599
576	18494	13558
577	18522	13523
578	18548	13487
579	18577	13452
580	18604	13417
581	18633	13382
582	18660	13347
583	18689	13312
584	18717	13278
585	18745	13243
586	18777	13211
587	18811	13180
588	18846	13150
589	18863	13108
590	18897	13077
591	18930	13046
592	18965	13016
593	18998	12985
594	19030	12953
595	19062	12921
596	19094	12889
597	19126	12857
598	19158	12825
599	19191	12794
600	19223	12762
601	19255	12730
602	19284	12696
603	19317	12664
604	19348	12632
605	19380	12600
606	19411	12567
607	19443	12535
608	19473	12502
609	19505	12470
610	19535	12437
611	19566	12405
612	19593	12369
613	19623	12336
614	19653	12303
615	19684	12270
616	19713	12237
617	19743	12203
618	19772	12170
619	19801	12136
620	19831	12103
621	19861	12070
622	19891	12036
623	19919	12002
624	19949	11969
625	19979	11936
626	20008	11902
627	20037	11869
628	20065	11834
629	20094	11801
630	20124	11768
631	20153	11734
632	20177	11698
633	20206	11664
634	20235	11631
635	20264	11597
636	20293	11564
637	20321	11530
638	20352	11498
639	20383	11465
640	20412	11432
641	20442	11399
642	20472	11366
643	20501	11333
644	20530	11299
645	20560	11266
646	20589	11233
647	20618	11200
648	20650	11168
649	20682	11136
650	20711	11103
651	20740	11070
652	20770	11037
653	20798	11003
654	20827	10970
655	20854	10936
656	20884	10903
657	20911	10869
658	20939	10835
659	20965	10800
660	20992	10766
661	21018	10731
662	21045	10697
663	21072	10663
664	21098	10628
665	21127	10595
666	21154	10561
667	21180	10526
668	21204	10491
669	21232	10457
670	21257	10422
671	21271	10382
672	21297	10348
673	21324	10314
674	21343	10276
675	21370	10242
676	21396	10208
677	21426	10176
678	21452	10141
679	21480	10108
680	21507	10074
681	21534	10041
682	21560	10006
683	21588	9973
684	21615	9939
685	21641	9906
686	21669	9872
687	21695	9838
688	21723	9805
689	21751	9772
690	21779	9739
691	21806	9705
692	21834	9672
693	21863	9640
694	21890	9606
695	21918	9573
696	21945	9539
697	21973	9506
698	22000	9473
699	22026	9440
700	22056	9407
701	22086	9375
702	22114	9342
703	22142	9309
704	22169	9276
705	22196	9243
706	22225	9210
707	22252	9177
708	22282	9145
709	22311	9113
710	22340	9080
711	22369	9048
712	22396	9015
713	22424	8982
714	22452	8949
715	22480	8916
716	22508	8883
717	22522	8845
718	22550	8813
719	22578	8780
720	22606	8747
721	22633	8714
722	22662	8682
723	22689	8649
724	22717	8617
725	22752	8587
726	22786	8556
727	22821	8526
728	22856	8496
729	22890	8466
730	22925	8436
731	22958	8405
732	22991	8374
733	23022	8343
734	23057	8313
735	23089	8282
736	23121	8251
737	23156	8220
738	23188	8189
739	23219	8158
740	23250	8126
741	23282	8095
742	23315	8064
743	23348	8034
744	23379	8002
745	23414	7972
746	23447	7941
747	23478	7910
748	23509	7878
749	23541	7847
750	23572	7815
751	23603	7784
752	23634	7752
753	23665	7721
754	23698	7690
755	23730	7659
756	23762	7627
757	23791	7595
758	23823	7564
759	23853	7532
760	23884	7501
761	23913	7469
762	23944	7437
763	23973	7405
764	24003	7373
765	24032	7341
766	24062	7309
767	24092	7278
768	24122	7246
769	24152	7214
770	24182	7182
771	24211	7150
772	24239	7118
773	24268	7086
774	24298	7054
775	24327	7022
776	24357	6990
777	24385	6958
778	24415	6926
779	24445	6894
780	24474	6862
781	24503	6830
782	24532	6798
783	24563	6767
784	24591	6735
785	24620	6703
786	24650	6671
787	24678	6639
788	24709	6607
789	24738	6576
790	24767	6544
791	24794	6511
792	24822	6479
793	24849	6447
794	24876	6414
795	24902	6381
796	24928	6349
797	24955	6317
798	24981	6284
799	25008	6252
800	25032	6218
801	25058	6186
802	25083	6153
803	25109	6121
804	25134	6088
805	25162	6056
806	25187	6023
807	25212	5991
808	25238	5958
809	25265	5926
810	25292	5894
811	25318	5861
812	25346	5829
813	25373	5797
814	25399	5765
815	25424	5733
816	25451	5700
817	25478	5668
818	25504	5636
819	25531	5604
820	25557	5572
821	25584	5540
822	25610	5507
823	25638	5476
824	25666	5444
825	25693	5412
826	25722	5380
827	25749	5348
828	25776	5316
829	25804	5285
830	25831	5253
831	25859	5221
832	25886	5189
833	25914	5158
834	25942	5126
835	25970	5094
836	26000	5063
837	26028	5031
838	26056	5000
839	26085	4968
840	26113	4937
841	26142	4905
842	26169	4873
843	26199	4842
844	26226	4810
845	26254	4779
846	26286	4748
847	26314	4716
848	26343	4685
849	26370	4653
850	26399	4622
851	26428	4590
852	26460	4560
853	26490	4528
854	26519	4497
855	26548	4466
856	26576	4434
857	26604	4403
858	26634	4371
859	26661	4340
860	26692	4309
861	26721	4277
862	26756	4247
863	26790	4217
864	26826	4186
865	26859	4156
866	26892	4125
867	26926	4094
868	26959	4064
869	26991	4033
870	27024	4002
871	27056	3971
872	27089	3940
873	27121	3909
874	27152	3878
875	27184	3848
876	27216	3817
877	27246	3785
878	27278	3755
879	27310	3724
880	27342	3693
881	27374	3662
882	27405	3631
883	27436	3600
884	27465	3568
885	27496	3537
886	27527	3506
887	27558	3475
888	27587	3444
889	27617	3413
890	27648	3382
891	27677	3351
892	27709	3320
893	27738	3288
894	27769	3257
895	27798	3226
896	27828	3195
897	27857	3164
898	27887	3133
899	27917	3101
900	27946	3070
901	27975	3039
902	28004	3008
903	28034	2977
904	28061	2945
905	28090	2914
906	28120	2883
907	28149	2852
908	28179	2821
909	28207	2789
910	28236	2758
911	28266	2727
912	28296	2696
913	28325	2665
914	28354	2634
915	28384	2602
916	28413	2571
917	28442	2540
918	28471	2509
919	28499	2478
920	28529	2447
921	28557	2415
922	28586	2384
923	28615	2353
924	28643	2322
925	28672	2291
926	28702	2260
927	28731	2229
928	28758	2197
929	28786	2166
930	28812	2135
931	28840	2104
932	28866	2072
933	28892	2041
934	28919	2010
935	28944	1979
936	28970	1947
937	28995	1916
938	29021	1885
939	29046	1854
940	29071	1822
941	29097	1791
942	29123	1760
943	29151	1729
944	29176	1698
945	29204	1667
946	29232	1636
947	29259	1604
948	29286	1573
949	29314	1542
950	29340	1511
951	29368	1480
952	29397	1449
953	29424	1418
954	29450	1387
955	29477	1356
956	29503	1325
957	29531	1294
958	29557	1263
959	29585	1232
960	29613	1201
961	29640	1170
962	29668	1139
963	29696	1108
964	29723	1078
965	29750	1047
966	29777	1016
967	29804	985
968	29832	954
969	29859	923
970	29887	892
971	29916	861
972	29944	830
973	29971	800
974	29999	769
975	30027	738
976	30055	707
977	30083	676
978	30109	645
979	30137	615
980	30167	584
981	30194	553
982	30224	522
983	30251	491
984	30278	461
985	30306	430
986	30334	399
987	30361	368
988	30389	337
989	30416	307
990	30444	276
991	30471	245
992	30498	214
993	30526	184
994	30554	153
995	30582	122
996	30609	92
997	30637	61
998	30664	30
999	30692	0
